k,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Significance,Number of google review in lakhs,Best Time to visit,Image URL,Weighted Rating,Weighted Rating_normalize,Number of google review in lakhs_normalize,recommendations
Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,1955,3,4.5,Wildlife,10000,Morning,https://images.unsplash.com/photo-1563289278-442a75d2adae?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxLYW5oYSUyME5hdGlvbmFsJTIwUGFya3xlbnwwfHx8fDE3MjkyNTAzNTR8MA&ixlib=rb-4.0.3&q=80&w=400,4.499998616,0.885713754,0.242219215,0.563966485
Northern,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,1459,2,4.6,Historical,64000,All,https://images.unsplash.com/photo-1714893520131-4fb6dd335e83?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxNZWhyYW5nYXJoJTIwRm9ydHxlbnwwfHx8fDE3MjkyNDU4OTh8MA&ixlib=rb-4.0.3&q=80&w=400,4.599998221,0.914285271,0.201623816,0.557954543
Northern,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,1236,1,4.6,Religious,35000,All,https://images.unsplash.com/photo-1727448399534-bafb8806db50?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxBam1lciUyMFNoYXJpZiUyMERhcmdhaHxlbnwwfHx8fDE3MjkyNDU4OTR8MA&ixlib=rb-4.0.3&q=80&w=400,4.599996747,0.914285271,0.201623816,0.557954543
Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1,4.5,Religious,59000,Evening,https://images.unsplash.com/photo-1705384766432-d77804736822?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxMb3R1cyUyMFRlbXBsZXxlbnwwfHx8fDE3MjkyNDQyODF8MA&ixlib=rb-4.0.3&q=80&w=400,4.499999765,0.971428057,0.140730717,0.556079387
Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3,4.2,Market,25000,Afternoon,https://images.unsplash.com/photo-1662101875545-0b0cb8b7795b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDaGFuZG5pJTIwQ2hvd2t8ZW58MHx8fHwxNzI5MjQ0MjgwfDA&ixlib=rb-4.0.3&q=80&w=400,4.200011446,0.971428057,0.140730717,0.556079387
Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,4.6,Architectural,80000,Morning,https://images.unsplash.com/photo-1675589412450-571c4a5afe6e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxWaWRoYW5hJTIwU291ZGhhfGVufDB8fHx8MTcyOTI0NDI5OHww&ixlib=rb-4.0.3&q=80&w=400,4.599998577,0.94285669,0.161028417,0.551942553
Northern,Delhi,Delhi,Red Fort,Fort,1648,2,4.5,Historical,150000,Afternoon,https://images.unsplash.com/photo-1705861144413-f02e38354648?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxSZWQlMjBGb3J0fGVufDB8fHx8MTcyOTI0NDI4MXww&ixlib=rb-4.0.3&q=80&w=400,4.499999908,0.971427914,0.120433018,0.545930466
Northern,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,700,2,4.6,Historical,190000,All,https://images.unsplash.com/photo-1717329162563-2f93e83cc717?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDaGl0dG9yZ2FyaCUyMEZvcnR8ZW58MHx8fHwxNzI5MjQ1OTAyfDA&ixlib=rb-4.0.3&q=80&w=400,4.599999401,0.914285237,0.174560217,0.544422727
Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1500,1.5,4.8,Historical,10000,Afternoon,https://images.unsplash.com/photo-1641803187436-1afdb46afb30?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxPcmNoaGElMjBGb3J0fGVufDB8fHx8MTcyOTI1MDM1NXww&ixlib=rb-4.0.3&q=80&w=400,4.799968619,0.88571375,0.201623816,0.543668783
Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,1968,3,4.5,Wildlife,5000,Morning,https://images.unsplash.com/photo-1670423462494-bdf156e73684?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxCYW5kaGF2Z2FyaCUyME5hdGlvbmFsJTIwUGFya3xlbnwwfHx8fDE3MjkyNTAzNTV8MA&ixlib=rb-4.0.3&q=80&w=400,4.499997231,0.88571375,0.201623816,0.543668783
Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1,4.6,Religious,114000,Evening,https://images.unsplash.com/photo-1701172188718-35894ba655ee?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxJU0tDT04lMjBUZW1wbGUlMjBCYW5nYWxvcmV8ZW58MHx8fHwxNzI5MjQ0Mjk4fDA&ixlib=rb-4.0.3&q=80&w=400,4.599999001,0.942856588,0.133964817,0.538410703
Northern,Rajasthan,Jaipur,Amber Fort,Fort,1592,2,4.6,Historical,150000,All,https://images.unsplash.com/photo-1682321136734-8cc95d0912be?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxBbWJlciUyMEZvcnR8ZW58MHx8fHwxNzI5MjQ1OTE0fDA&ixlib=rb-4.0.3&q=80&w=400,4.599999241,0.914285217,0.161028417,0.537656817
Northern,Rajasthan,Mount Abu,Dilwara Temples,Temple,1100,1,4.6,Religious,5000,All,https://images.unsplash.com/photo-1658730510499-8c8e84f4db38?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxEaWx3YXJhJTIwVGVtcGxlc3xlbnwwfHx8fDE3MjkyNDU5MDZ8MA&ixlib=rb-4.0.3&q=80&w=400,4.599977235,0.914285217,0.161028417,0.537656817
Northern,Rajasthan,Bikaner,Junagarh Fort,Fort,1589,2,4.5,Historical,32000,All,https://images.unsplash.com/photo-1705042431287-69207fbb4029?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxKdW5hZ2FyaCUyMEZvcnR8ZW58MHx8fHwxNzI5MjQ1OTEwfDA&ixlib=rb-4.0.3&q=80&w=400,4.499999567,0.914285217,0.161028417,0.537656817
Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,1,4.3,Cultural,6500,All,https://images.unsplash.com/photo-1708317751164-f2d2b5f5000f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMjB8MHwxfHNlYXJjaHwxfHxWaXNha2hhJTIwTXVzZXVtfGVufDB8fHx8MTcyOTI1MjAwNnww&ixlib=rb-4.0.3&q=80&w=400,4.300028635,0.857142218,0.215155616,0.536148917
Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1500,1,3.9,Historical,3000,Afternoon,https://images.unsplash.com/photo-1727854053846-12c3e5902b2b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxKYWhheiUyME1haGFsfGVufDB8fHx8MTcyOTI1MDM1Nnww&ixlib=rb-4.0.3&q=80&w=400,3.90019532,0.885713747,0.184032476,0.534873112
Northern,Rajasthan,Jaipur,Jaigarh Fort,Fort,1726,1.5,4.5,Historical,30000,All,https://images.unsplash.com/photo-1516540351707-827ed0573410?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxKYWlnYXJoJTIwRm9ydHxlbnwwfHx8fDE3MjkyNDU5MTh8MA&ixlib=rb-4.0.3&q=80&w=400,4.499999538,0.914285202,0.152909337,0.53359727
Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1,4.5,Historical,210000,Morning,https://images.unsplash.com/photo-1671358914441-dacc4f1f7dd6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDaGFybWluYXJ8ZW58MHx8fHwxNzI5MjQ0Mjk5fDA&ixlib=rb-4.0.3&q=80&w=400,4.499999934,0.94285652,0.120433018,0.531644769
Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,1958,2,4.6,Archaeological,7000,Afternoon,https://images.unsplash.com/photo-1630487895005-4e2776342faf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxCaGltYmV0a2ElMjBSb2NrJTIwU2hlbHRlcnN8ZW58MHx8fHwxNzI5MjUwMzU2fDA&ixlib=rb-4.0.3&q=80&w=400,4.599983739,0.885713746,0.174560217,0.530136981
Southern,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,Unknown,1,3.8,Recreational,3000,All,https://images.unsplash.com/photo-1526246720181-e77abee68e83?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMjB8MHwxfHNlYXJjaHwxfHxNYXRzeWFkYXJzaGluaSUyMEFxdWFyaXVtfGVufDB8fHx8MTcyOTI1MjAwNXww&ixlib=rb-4.0.3&q=80&w=400,3.800228642,0.857142229,0.201623816,0.529383022
Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2,4.4,Historical,120000,Morning,https://images.unsplash.com/photo-1640718824443-a5f3b1d29e98?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxHb2xjb25kYSUyMEZvcnR8ZW58MHx8fHwxNzI5MjQ0MzAwfDA&ixlib=rb-4.0.3&q=80&w=400,4.400000718,0.942856463,0.110960758,0.52690861
Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1,4.3,Scenic,50000,Evening,https://images.unsplash.com/photo-1439066290691-510066268af5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxIdXNzYWluJTIwU2FnYXIlMjBMYWtlfGVufDB8fHx8MTcyOTI0NDMwMHww&ixlib=rb-4.0.3&q=80&w=400,4.300003723,0.942856454,0.109607578,0.526232016
Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1200,1,4.4,Religious,1000,All,https://images.unsplash.com/photo-1601208443688-c71856b84610?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxOYXJtYWRhJTIwVWRnYW0lMjBUZW1wbGV8ZW58MHx8fHwxNzI5MjUwMzU3fDA&ixlib=rb-4.0.3&q=80&w=400,4.400086068,0.885713743,0.161028417,0.52337108
Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,Unknown,1.5,4.4,Nature,10000,Morning,https://images.unsplash.com/photo-1604476679223-80349206ce33?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxDaGl0cmFrb290JTIwRmFsbHN8ZW58MHx8fHwxNzI5MjUwMzU3fDA&ixlib=rb-4.0.3&q=80&w=400,4.400008615,0.885713743,0.161028417,0.52337108
Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4,4.4,Entertainment,45000,All,https://images.unsplash.com/photo-1598610339755-6e4e24737a27?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxSYW1vamklMjBGaWxtJTIwQ2l0eXxlbnwwfHx8fDE3MjkyNDQzMDJ8MA&ixlib=rb-4.0.3&q=80&w=400,4.400001914,0.942856339,0.094722598,0.518789468
Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1,4.2,Historical,41000,Afternoon,https://images.unsplash.com/photo-1728384236146-45d413522a91?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxBZ3Jhc2VuJTIwa2klMjBCYW9saXxlbnwwfHx8fDE3MjkyNDQyODJ8MA&ixlib=rb-4.0.3&q=80&w=400,4.200006979,0.971427081,0.064952639,0.51818986
Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2,4.4,Historical,67000,All,https://images.unsplash.com/photo-1711173734852-464d8cc5d708?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxTYWxhciUyMEp1bmclMjBNdXNldW18ZW58MHx8fHwxNzI5MjQ0MzAyfDA&ixlib=rb-4.0.3&q=80&w=400,4.400001286,0.942856314,0.092016238,0.517436276
Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2,4.1,Wildlife,25000,Afternoon,https://images.unsplash.com/photo-1581160623631-b76fb70a654b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMjB8MHwxfHNlYXJjaHwxfHxJbmRpcmElMjBHYW5kaGklMjBab29sb2dpY2FsJTIwUGFya3xlbnwwfHx8fDE3MjkyNTIwMDV8MA&ixlib=rb-4.0.3&q=80&w=400,4.100015446,0.857142251,0.177266576,0.517204414
Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,Unknown,1,4.7,Recreational,3000,Morning,https://images.unsplash.com/photo-1694829383879-96786c18470c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMDl8MHwxfHNlYXJjaHwxfHxUaGUlMjBSaWRnZXxlbnwwfHx8fDE3MjkyNTAzNTh8MA&ixlib=rb-4.0.3&q=80&w=400,4.699928742,0.88571374,0.147496617,0.516605179
Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,Unknown,1,4.6,Historical,5900,All,https://images.unsplash.com/photo-1531911847154-f25129c1fb8a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMjB8MHwxfHNlYXJjaHwxfHxXYXIlMjBNZW1vcmlhbHxlbnwwfHx8fDE3MjkyNTIwMDR8MA&ixlib=rb-4.0.3&q=80&w=400,4.599980707,0.857142254,0.174560217,0.515851235
Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1,4.4,Historical,20000,Morning,https://images.unsplash.com/photo-1664897945290-31466ec8b9b8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxRdXRiJTIwU2hhaGklMjBUb21ic3xlbnwwfHx8fDE3MjkyNDQzMDN8MA&ixlib=rb-4.0.3&q=80&w=400,4.400004307,0.942856259,0.086603518,0.514729889
Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2,4.6,Botanical,16000,Afternoon,https://images.unsplash.com/photo-1710743786016-17a934454432?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxTdW5kZXIlMjBOdXJzZXJ5fGVufDB8fHx8MTcyOTI0NDI4M3ww&ixlib=rb-4.0.3&q=80&w=400,4.599992885,0.971426612,0.051420839,0.511423725
Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,4.4,Historical,45000,Morning,https://images.unsplash.com/photo-1692964808433-a7f9554c3f24?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDaG93bWFoYWxsYSUyMFBhbGFjZXxlbnwwfHx8fDE3MjkyNDQzMDR8MA&ixlib=rb-4.0.3&q=80&w=400,4.400001914,0.942856164,0.078484438,0.510670301
Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1,4.7,Religious,41000,All,https://images.unsplash.com/photo-1695351627748-36b5600f8570?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxCaXJsYSUyME1hbmRpcnxlbnwwfHx8fDE3MjkyNDQzMDR8MA&ixlib=rb-4.0.3&q=80&w=400,4.699994784,0.942856164,0.078484438,0.510670301
Northern,Rajasthan,Udaipur,Lake Pichola,Lake,1362,1,4.6,Nature,50000,All,https://images.unsplash.com/photo-1634720564985-5cf184d8eca9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxMYWtlJTIwUGljaG9sYXxlbnwwfHx8fDE3MjkyNDU5MjJ8MA&ixlib=rb-4.0.3&q=80&w=400,4.599997723,0.914285081,0.106901218,0.510593149
Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2,4.1,Botanical,23000,Morning,https://images.unsplash.com/photo-1534710961216-75c88202f43e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxHYXJkZW4lMjBvZiUyMEZpdmUlMjBTZW5zZXN8ZW58MHx8fHwxNzI5MjQ0MjgzfDA&ixlib=rb-4.0.3&q=80&w=400,4.100016789,0.971426487,0.048714479,0.510070483
Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2,4.5,Historical,40000,Afternoon,https://images.unsplash.com/photo-1646938691456-a03d01a8276a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxIdW1heXVuJTI3cyUyMFRvbWJ8ZW58MHx8fHwxNzI5MjQ0Mjc3fDA&ixlib=rb-4.0.3&q=80&w=400,4.499999654,0.99999274,0.01894452,0.50946863
Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,22,1,4.6,Historical,49000,All,https://images.unsplash.com/photo-1622374634342-fd08ced47ba3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMjB8MHwxfHNlYXJjaHwxfHxTdWJtYXJpbmUlMjBNdXNldW18ZW58MHx8fHwxNzI5MjUyMDAzfDA&ixlib=rb-4.0.3&q=80&w=400,4.599997677,0.85714227,0.161028417,0.509085343
Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,Unknown,2,4.5,Natural Wonder,31000,Afternoon,https://images.unsplash.com/photo-1627827776375-67633d8d2f45?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMjB8MHwxfHNlYXJjaHwxfHxCb3JyYSUyMENhdmVzfGVufDB8fHx8MTcyOTI1MjAwM3ww&ixlib=rb-4.0.3&q=80&w=400,4.499999553,0.85714227,0.161028417,0.509085343
Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1,4.5,Botanical,48000,All,https://images.unsplash.com/photo-1715633742355-f9d8322ca70e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxMb2RoaSUyMEdhcmRlbnxlbnwwfHx8fDE3MjkyNDQyODR8MA&ixlib=rb-4.0.3&q=80&w=400,4.499999712,0.971426349,0.046008119,0.508717234
Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3,4.2,Wildlife,86000,Morning,https://images.unsplash.com/photo-1711183519853-e3efc39d3af7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxOZWhydSUyMFpvb2xvZ2ljYWwlMjBQYXJrfGVufDB8fHx8MTcyOTI0NDMwNXww&ixlib=rb-4.0.3&q=80&w=400,4.200003327,0.942856088,0.073071719,0.507963903
Northern,Himachal Pradesh,Manali,Solang Valley,Valley,Unknown,2,4.1,Adventure,5000,Morning,https://images.unsplash.com/photo-1655469795420-31a4cefc79e4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYyMTV8MHwxfHNlYXJjaHwxfHxTb2xhbmclMjBWYWxsZXl8ZW58MHx8fHwxNzI5MjUxMzAyfDA&ixlib=rb-4.0.3&q=80&w=400,4.100077215,0.885713735,0.127198917,0.506456326
Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5,4.6,Religious,40000,Afternoon,"https://www.goldentriangletour.com/userfiles/1_Swaminarayan%20Akshardham%20Complex,%20New%20Delhi.jpg",4.599997154,0.999988799,0.01217862,0.506083709
Northern,Punjab,Amritsar,Golden Temple (Harmandir Sahib),Religious Site,1604,1.5,4.9,Spiritual,190000,All,https://images.unsplash.com/photo-1662721176895-e41f0833eda2?q=80&w=2007&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4.899997822,0.914285042,0.097428958,0.505857
