Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Image URL
18,Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1.0,4.6,500,Yes,,Historical,Yes,0.34,All,https://images.unsplash.com/photo-1703165414683-2ea7dc989d5a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDaGhhdHJhcGF0aSUyMFNoaXZhamklMjBNYWhhcmFqJTIwVmFzdHUlMjBTYW5ncmFoYWxheWF8ZW58MHx8fHwxNzI5MjQ0Mjg5fDA&ixlib=rb-4.0.3&q=80&w=400
19,Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3.0,4.3,50,Yes,Monday,Wildlife,Yes,0.6,All,https://images.unsplash.com/photo-1665844830397-9f53a1839b10?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxTYW5qYXklMjBHYW5kaGklMjBOYXRpb25hbCUyMFBhcmt8ZW58MHx8fHwxNzI5MjQ0MjkwfDA&ixlib=rb-4.0.3&q=80&w=400
20,Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,1881,2.0,4.8,0,Yes,,Religious,No,1.05,All,https://images.unsplash.com/photo-1601208443688-c71856b84610?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxTaWRkaGl2aW5heWFrJTIwVGVtcGxlfGVufDB8fHx8MTcyOTI0NDI5MHww&ixlib=rb-4.0.3&q=80&w=400
21,Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1831,1.0,4.7,0,Yes,,Religious,No,0.33,All,https://images.unsplash.com/photo-1601208443688-c71856b84610?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxNYWhhbGF4bWklMjBUZW1wbGV8ZW58MHx8fHwxNzI5MjQ0MjkxfDA&ixlib=rb-4.0.3&q=80&w=400
22,Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2.0,4.4,0,Yes,,Religious,No,0.16,All,https://images.unsplash.com/photo-1587842501012-1bf5cca58a40?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxIYWppJTIwQWxpJTIwRGFyZ2FofGVufDB8fHx8MTcyOTI0NDI5Mnww&ixlib=rb-4.0.3&q=80&w=400
23,Western,Maharastra,Mumbai,Chowpatty Beach,Beach,Unknown,2.0,4.3,0,Yes,,Recreational,Yes,0.05,Evening,https://images.unsplash.com/photo-1581748931384-5e611fdefb8d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDaG93cGF0dHklMjBCZWFjaHxlbnwwfHx8fDE3MjkyNDQyOTJ8MA&ixlib=rb-4.0.3&q=80&w=400
24,Western,Maharastra,Mumbai,Essel World,Amusement Park,1986,5.0,4.3,1149,Yes,,Recreational,Yes,0.27,All,https://images.unsplash.com/photo-1476304884326-cd2c88572c5f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxFc3NlbCUyMFdvcmxkfGVufDB8fHx8MTcyOTI0NDI5M3ww&ixlib=rb-4.0.3&q=80&w=400
25,Western,Maharastra,Mumbai,Elephanta Caves,Monument,1987,4.0,4.3,550,Yes,,Historical,Yes,0.35,All ,https://images.unsplash.com/photo-1619951068574-b3bbe7a07426?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxFbGVwaGFudGElMjBDYXZlc3xlbnwwfHx8fDE3MjkyNDQyOTR8MA&ixlib=rb-4.0.3&q=80&w=400
26,Western,Maharastra,Lonavala,Imagicaa,Amusement Park,2013,5.0,1.4,1149,No,Monday,Recreational,Yes,0.95,All,https://images.unsplash.com/photo-1723524993962-0234edebe0cf?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxJbWFnaWNhYXxlbnwwfHx8fDE3MjkyNDQyOTV8MA&ixlib=rb-4.0.3&q=80&w=400
27,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,1878,2.0,4.2,500,Yes,Monday,Historical,Yes,0.9,Morning,https://images.unsplash.com/photo-1672828792610-c336e7db6646?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxCYW5nYWxvcmUlMjBQYWxhY2V8ZW58MHx8fHwxNzI5MjQ0Mjk1fDA&ixlib=rb-4.0.3&q=80&w=400
28,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1760,1.5,4.4,20,Yes,,Nature,Yes,1.5,Evening,https://images.unsplash.com/photo-1663062542918-b705c09efff1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxMYWxiYWdoJTIwQm90YW5pY2FsJTIwR2FyZGVufGVufDB8fHx8MTcyOTI0NDI5Nnww&ixlib=rb-4.0.3&q=80&w=400
29,Southern,Karnataka,Bangalore,Cubbon Park,Park,1870,1.0,4.4,0,Yes,,Nature,Yes,1.32,Morning,https://images.unsplash.com/photo-1648994176530-f2821a75e45a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDdWJib24lMjBQYXJrfGVufDB8fHx8MTcyOTI0NDI5N3ww&ixlib=rb-4.0.3&q=80&w=400
30,Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,1956,0.5,4.6,0,Yes,,Architectural,No,0.8,Morning,https://images.unsplash.com/photo-1675589412450-571c4a5afe6e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxWaWRoYW5hJTIwU291ZGhhfGVufDB8fHx8MTcyOTI0NDI5OHww&ixlib=rb-4.0.3&q=80&w=400
31,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1.0,4.6,0,Yes,,Religious,Yes,1.14,Evening,https://images.unsplash.com/photo-1701172188718-35894ba655ee?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxJU0tDT04lMjBUZW1wbGUlMjBCYW5nYWxvcmV8ZW58MHx8fHwxNzI5MjQ0Mjk4fDA&ixlib=rb-4.0.3&q=80&w=400
32,Southern,Telangana,Hyderabad,Charminar,Landmark,1591,1.0,4.5,25,Yes,Friday,Historical,Yes,2.1,Morning,https://images.unsplash.com/photo-1671358914441-dacc4f1f7dd6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDaGFybWluYXJ8ZW58MHx8fHwxNzI5MjQ0Mjk5fDA&ixlib=rb-4.0.3&q=80&w=400
33,Southern,Telangana,Hyderabad,Golconda Fort,Fort,1600,2.0,4.4,30,Yes,,Historical,Yes,1.2,Morning,https://images.unsplash.com/photo-1640718824443-a5f3b1d29e98?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxHb2xjb25kYSUyMEZvcnR8ZW58MHx8fHwxNzI5MjQ0MzAwfDA&ixlib=rb-4.0.3&q=80&w=400
34,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1563,1.0,4.3,0,Yes,,Scenic,Yes,0.5,Evening,https://images.unsplash.com/photo-1439066290691-510066268af5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxIdXNzYWluJTIwU2FnYXIlMjBMYWtlfGVufDB8fHx8MTcyOTI0NDMwMHww&ixlib=rb-4.0.3&q=80&w=400
35,Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4.0,4.4,1150,Yes,,Entertainment,Yes,0.45,All,https://images.unsplash.com/photo-1598610339755-6e4e24737a27?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxSYW1vamklMjBGaWxtJTIwQ2l0eXxlbnwwfHx8fDE3MjkyNDQzMDJ8MA&ixlib=rb-4.0.3&q=80&w=400
36,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,1951,2.0,4.4,20,Yes,,Historical,Yes,0.67,All,https://images.unsplash.com/photo-1711173734852-464d8cc5d708?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxTYWxhciUyMEp1bmclMjBNdXNldW18ZW58MHx8fHwxNzI5MjQ0MzAyfDA&ixlib=rb-4.0.3&q=80&w=400
37,Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1600,1.0,4.4,25,Yes,,Historical,Yes,0.2,Morning,https://images.unsplash.com/photo-1664897945290-31466ec8b9b8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxRdXRiJTIwU2hhaGklMjBUb21ic3xlbnwwfHx8fDE3MjkyNDQzMDN8MA&ixlib=rb-4.0.3&q=80&w=400
38,Southern,Telangana,Hyderabad,Birla Mandir,Temple,1976,1.0,4.7,0,Yes,,Religious,No,0.41,All,https://images.unsplash.com/photo-1695351627748-36b5600f8570?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxCaXJsYSUyME1hbmRpcnxlbnwwfHx8fDE3MjkyNDQzMDR8MA&ixlib=rb-4.0.3&q=80&w=400
39,Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1800,1.5,4.4,80,Yes,,Historical,Yes,0.45,Morning,https://images.unsplash.com/photo-1692964808433-a7f9554c3f24?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDaG93bWFoYWxsYSUyMFBhbGFjZXxlbnwwfHx8fDE3MjkyNDQzMDR8MA&ixlib=rb-4.0.3&q=80&w=400
40,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,1963,3.0,4.2,50,Yes,,Wildlife,Yes,0.86,Morning,https://images.unsplash.com/photo-1711183519853-e3efc39d3af7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxOZWhydSUyMFpvb2xvZ2ljYWwlMjBQYXJrfGVufDB8fHx8MTcyOTI0NDMwNXww&ixlib=rb-4.0.3&q=80&w=400
41,Southern,Telangana,Hyderabad,Lumbini Park,Park,1994,1.0,4.1,20,Yes,,Recreational,Yes,0.73,Evening,https://images.unsplash.com/photo-1706187243907-20b4a3944a41?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxMdW1iaW5pJTIwUGFya3xlbnwwfHx8fDE3MjkyNDQzMDZ8MA&ixlib=rb-4.0.3&q=80&w=400
42,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1921,1.5,4.6,30,Yes,Monday,Historical,Yes,0.73,Morning,https://images.unsplash.com/photo-1720253919910-1571c2b93ad7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxWaWN0b3JpYSUyME1lbW9yaWFsfGVufDB8fHx8MTcyOTI0NDMwN3ww&ixlib=rb-4.0.3&q=80&w=400
43,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,Yes,,Architectural,No,1.2,Anytime,https://images.unsplash.com/photo-1536421469767-80559bb6f5e1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxIb3dyYWglMjBCcmlkZ2V8ZW58MHx8fHwxNzI5MjQ0MzA3fDA&ixlib=rb-4.0.3&q=80&w=400
44,Eastern,West Bengal,Kolkata,Indian Museum,Museum,1814,2.0,4.6,50,Yes,Monday,Historical,Yes,0.18,Morning,https://images.unsplash.com/photo-1655389819956-ac832bfb6795?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxJbmRpYW4lMjBNdXNldW18ZW58MHx8fHwxNzI5MjQ0MzA4fDA&ixlib=rb-4.0.3&q=80&w=400
45,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1.0,4.7,0,Yes,,Religious,Yes,0.82,Morning,https://images.unsplash.com/photo-1677397333707-7b833006983d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxEYWtzaGluZXN3YXIlMjBLYWxpJTIwVGVtcGxlfGVufDB8fHx8MTcyOTI0NDMwOXww&ixlib=rb-4.0.3&q=80&w=400
46,Eastern,West Bengal,Kolkata,Kalighat Kali Temple,Temple,1809,1.0,4.4,0,Yes,,Religious,Yes,0.5,Morning,https://images.unsplash.com/photo-1601208443688-c71856b84610?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxLYWxpZ2hhdCUyMEthbGklMjBUZW1wbGV8ZW58MHx8fHwxNzI5MjQ0MzEwfDA&ixlib=rb-4.0.3&q=80&w=400
47,Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3.0,4.1,2500,Yes,,Sports,Yes,0.1,All,https://images.unsplash.com/photo-1682066502781-945be92dfdb7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxFZGVuJTIwR2FyZGVuc3xlbnwwfHx8fDE3MjkyNDQzMTB8MA&ixlib=rb-4.0.3&q=80&w=400
48,Eastern,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,1876,2.0,4.3,25,Yes,,Wildlife,Yes,0.66,Afternoon,https://images.unsplash.com/photo-1670817375677-f6054ebb9f0d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxBbGlwb3JlJTIwWm9vbG9naWNhbCUyMEdhcmRlbnN8ZW58MHx8fHwxNzI5MjQ0MzExfDA&ixlib=rb-4.0.3&q=80&w=400
49,Eastern,West Bengal,Kolkata,Science City Kolkata,Science,1997,3.0,4.4,60,Yes,,Educational,Yes,0.88,All,https://images.unsplash.com/photo-1477959858617-67f85cf4f1df?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxTY2llbmNlJTIwQ2l0eSUyMEtvbGthdGF8ZW58MHx8fHwxNzI5MjQ0MzEyfDA&ixlib=rb-4.0.3&q=80&w=400
50,Eastern,West Bengal,Kolkata,Belur Math,Site,1898,1.5,4.7,0,Yes,,Religious,Yes,0.47,Morning,https://images.unsplash.com/photo-1677219100015-f9184f7486c5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxCZWx1ciUyME1hdGh8ZW58MHx8fHwxNzI5MjQ1NzU1fDA&ixlib=rb-4.0.3&q=80&w=400
51,Eastern,West Bengal,Kolkata,Marble Palace,Palace,1835,1.0,4.4,0,Yes,,Historical,Yes,0.1,Afternoon,https://images.unsplash.com/photo-1724650965526-4ab37c60a3f9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxNYXJibGUlMjBQYWxhY2V8ZW58MHx8fHwxNzI5MjQ1NzU5fDA&ixlib=rb-4.0.3&q=80&w=400
52,Southern,Goa,Goa,Calangute Beach,Beach,Unknown,2.0,4.4,0,Yes,,Scenic,Yes,0.26,Evening,https://images.unsplash.com/photo-1560316644-03813d2504d6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDYWxhbmd1dGUlMjBCZWFjaHxlbnwwfHx8fDE3MjkyNDU3NjN8MA&ixlib=rb-4.0.3&q=80&w=400
53,Southern,Goa,Goa,Basilica of Bom Jesus,Church,1605,1.0,4.5,0,Yes,,Historical,Yes,0.59,Afternoon,https://images.unsplash.com/photo-1685423142584-8054c84450bd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxCYXNpbGljYSUyMG9mJTIwQm9tJTIwSmVzdXN8ZW58MHx8fHwxNzI5MjQ1NzY3fDA&ixlib=rb-4.0.3&q=80&w=400
54,Southern,Goa,Goa,Fort Aguada,Fort,1612,1.5,4.2,0,Yes,,Historical,Yes,0.95,Morning,https://images.unsplash.com/photo-1727202132811-056a2bae5512?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxGb3J0JTIwQWd1YWRhfGVufDB8fHx8MTcyOTI0NTc3MXww&ixlib=rb-4.0.3&q=80&w=400
55,Southern,Goa,Goa,Dudhsagar Falls,Waterfall,Unknown,3.0,4.6,500,Yes,,Nature,Yes,0.3,Afternoon,https://images.unsplash.com/photo-1685858874777-b87106319be7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxEdWRoc2FnYXIlMjBGYWxsc3xlbnwwfHx8fDE3MjkyNDU3NzV8MA&ixlib=rb-4.0.3&q=80&w=400
56,Southern,Goa,Goa,Anjuna Beach,Beach,Unknown,2.0,4.4,0,Yes,,Scenic,Yes,0.18,Evening,https://images.unsplash.com/photo-1575747687077-b7a4bb468f65?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxBbmp1bmElMjBCZWFjaHxlbnwwfHx8fDE3MjkyNDU3Nzl8MA&ixlib=rb-4.0.3&q=80&w=400
57,Southern,Goa,Goa,Chapora Fort,Fort,1617,1.0,4.2,0,Yes,,Historical,Yes,0.19,Evening,https://images.unsplash.com/photo-1642516864457-ef3dcfa02d3a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w2NjYxNzV8MHwxfHNlYXJjaHwxfHxDaGFwb3JhJTIwRm9ydHxlbnwwfHx8fDE3MjkyNDU3ODN8MA&ixlib=rb-4.0.3&q=80&w=400
